ID,DateTime,MONTH,YEAR,REPORT_PERIOD,UNEMPLOYMENT_RATE,National_Unemployment_Rate
64,04-01-2015 00:00,APRIL,2015,2015-04-15T00:00:00.000,6,7
65,05-01-2015 00:00,May,2015,2015-05-15T00:00:00.000,6,7
66,06-01-2015 00:00,June,2015,2015-06-15T00:00:00.000,6,7
67,07-01-2015 00:00,July,2015,2015-07-15T00:00:00.000,6,7
68,08-03-2015 00:00,August,2015,2015-08-15T00:00:00.000,6,7
69,09-01-2015 00:00,September,2015,2015-09-15T00:00:00.000,6,7
70,10-01-2015 00:00,October,2015,2015-10-15T00:00:00.000,6,7
71,11-02-2015 00:00,November,2015,2015-11-15T00:00:00.000,6,7
72,12-01-2015 00:00,December,2015,2015-12-15T00:00:00.000,6,7
73,01-01-2016 00:00,January,2016,2016-01-16T00:00:00.000,7,7
74,02-01-2016 00:00,February,2016,2016-02-16T00:00:00.000,7,7
75,03-01-2016 00:00,March,2016,2016-03-16T00:00:00.000,7,7
76,04-01-2016 00:00,April,2016,2016-04-16T00:00:00.000,7,7
77,05-02-2016 00:00,May,2016,2016-05-16T00:00:00.000,7,7
78,06-01-2016 00:00,June,2016,2016-06-16T00:00:00.000,7,7
79,07-01-2016 00:00,July,2016,2016-07-16T00:00:00.000,8,7
80,08-01-2016 00:00,August,2016,2016-08-16T00:00:00.000,8,7
81,09/22/2016 12:00:00 AM,September,2016,2016-09-16T00:00:00.000,8,7
82,10/22/2016 12:00:00 AM,October,2016,2016-10-16T00:00:00.000,7,7
83,11/22/2016 12:00:00 AM,November,2016,2016-11-16T00:00:00.000,7,7
84,12/17/2016 12:00:00 AM,December,2016,2016-12-16T00:00:00.000,8,7
85,01/17/2017 12:00:00 AM,January,2017,2017-01-17T00:00:00.000,8,7
86,02/28/2017 12:00:00 AM,February,2017,2017-02-17T00:00:00.000,8,7
87,03/29/2017 12:00:00 AM,March,2017,2017-03-17T00:00:00.000,9,7
88,04/29/2017 12:00:00 AM,April,2017,2017-04-17T00:00:00.000,8,7
89,05/29/2017 12:00:00 AM,May,2017,2017-05-17T00:00:00.000,8,7
90,06/29/2017 12:00:00 AM,June,2017,2017-06-17T00:00:00.000,8,7
91,07/29/2017 12:00:00 AM,July,2017,2017-07-17T00:00:00.000,9,7
92,08/29/2017 12:00:00 AM,August,2017,2017-08-17T00:00:00.000,9,6
93,09/29/2017 12:00:00 AM,September,2017,2017-09-01T00:00:00.000,9,6
94,10/29/2017 12:00:00 AM,October,2017,2017-10-01T00:00:00.000,8,6
95,11/29/2017 12:00:00 AM,November,2017,2017-11-01T00:00:00.000,8,6
96,12/29/2017 12:00:00 AM,December,2017,2017-12-01T00:00:00.000,7,6
97,01/29/2018 12:00:00 AM,January,2018,2018-01-01T00:00:00.000,7,6
98,02/28/2018 12:00:00 AM,February,2018,2018-02-01T00:00:00.000,7,6
99,03/29/2018 12:00:00 AM,March,2018,2018-03-01T00:00:00.000,7,6
100,04/29/2018 12:00:00 AM,April,2018,2018-04-01T00:00:00.000,7,6
101,05/29/2018 12:00:00 AM,May,2018,2018-05-01T00:00:00.000,7,6
102,06/29/2018 12:00:00 AM,June,2018,2018-06-01T00:00:00.000,7,6
103,07/29/2018 12:00:00 AM,July,2018,2018-07-01T00:00:00.000,7,6
104,08/29/2018 12:00:00 AM,August,2018,2018-08-01T00:00:00.000,7,6
105,09/29/2018 12:00:00 AM,September,2018,2018-09-01T00:00:00.000,6,6
106,10/29/2018 12:00:00 AM,October,2018,2018-10-01T00:00:00.000,7,6
107,11/29/2018 12:00:00 AM,November,2018,2018-11-01T00:00:00.000,7,6
108,12/29/2018 12:00:00 AM,December,2018,2018-12-01T00:00:00.000,7,6
109,01/29/2019 12:00:00 AM,January,2019,2019-01-01T00:00:00.000,7,6
110,02/28/2019 12:00:00 AM,February,2019,2019-02-01T00:00:00.000,7,6
111,03/29/2019 12:00:00 AM,March,2019,2019-03-01T00:00:00.000,7,6
112,04/29/2019 12:00:00 AM,April,2019,2019-04-01T00:00:00.000,7,6
113,05/29/2019 12:00:00 AM,May,2019,2019-05-01T00:00:00.000,7,6
114,06/29/2019 12:00:00 AM,June,2019,2019-06-01T00:00:00.000,7,6
115,07/29/2019 12:00:00 AM,July,2019,2019-07-01T00:00:00.000,8,6
116,08/29/2019 12:00:00 AM,August,2019,2019-08-01T00:00:00.000,8,6
117,09/29/2019 12:00:00 AM,September,2019,2019-09-01T00:00:00.000,8,6
118,10/29/2019 12:00:00 AM,October,2019,2019-10-01T00:00:00.000,7,6
119,11/29/2019 12:00:00 AM,November,2019,2019-11-01T00:00:00.000,8,6
120,12/29/2019 12:00:00 AM,December,2019,2019-12-01T00:00:00.000,8,6
121,01/29/2020 12:00:00 AM,January,2020,2020-01-01T00:00:00.000,8,6
122,02/28/2020 12:00:00 AM,February,2020,2020-02-01T00:00:00.000,8,6
123,03/29/2020 12:00:00 AM,March,2020,2020-03-01T00:00:00.000,8,6
124,04/29/2020 12:00:00 AM,April,2020,2020-04-01T00:00:00.000,10,9
125,05/29/2020 12:00:00 AM,May,2020,2020-05-01T00:00:00.000,14,12
126,06/29/2020 12:00:00 AM,June,2020,2020-06-01T00:00:00.000,16,13
127,07/29/2020 12:00:00 AM,July,2020,2020-07-01T00:00:00.000,15,12
128,08/29/2020 12:00:00 AM,August,2020,2020-08-01T00:00:00.000,14,11
129,09/29/2020 12:00:00 AM,September,2020,2020-09-01T00:00:00.000,13,10
130,10/29/2020 12:00:00 AM,October,2020,2020-10-01T00:00:00.000,12,10
131,11/29/2020 12:00:00 AM,November,2020,2020-11-01T00:00:00.000,12,9
132,12/29/2020 12:00:00 AM,December,2020,2020-12-01T00:00:00.000,11,9
133,01/29/2021 12:00:00 AM,January,2021,2021-01-01T00:00:00.000,12,9
134,02/28/2021 12:00:00 AM,February,2021,2021-02-01T00:00:00.000,12,9
135,03/29/2021 12:00:00 AM,March,2021,2021-03-01T00:00:00.000,11,8
136,04/29/2021 12:00:00 AM,April,2021,2021-04-01T00:00:00.000,11,8
137,05/29/2021 12:00:00 AM,May,2021,2021-05-01T00:00:00.000,10,8
138,06/29/2021 12:00:00 AM,June,2021,2021-06-01T00:00:00.000,10,8
139,07/29/2021 12:00:00 AM,July,2021,2021-07-01T00:00:00.000,9,8
140,08/29/2021 12:00:00 AM,August,2021,2021-08-01T00:00:00.000,8,7
141,09/29/2021 12:00:00 AM,September,2021,2021-09-01T00:00:00.000,8,7
